"id","title","answer_id","specialization","attachment","rating"
"158378","Which of the following is a widely used and effective machine learning algorithm based on the idea of bagging","632349","Deep & Reinforcement Learning","",4
"112049","Log loss Is also known as	Which vendor recently launched a cloud-based test and development service for 
enterprises?","447120","Deep & Reinforcement Learning","",3
"112051","Deep learning is preferred over machine learning when","447128","Deep & Reinforcement Learning","",3
"112056","When you use 1×1 convolutions in a CNN, what problem can arise?","447147","Deep & Reinforcement Learning","",4
"112065","Assume a simple MLP model with 3 neurons and inputs= 2,2,3. The weights to the input neurons are 5,5 and 5 respectively. Assume the activation function is a linear constant value of 3. What will be the output ?.","447184","Deep & Reinforcement Learning","",3
"112071","If you want to recognize a cat in a photo, which architecture of neural network would you prefer","447205","Deep & Reinforcement Learning","",5
"112074","Chess game example falls under","447219","Deep & Reinforcement Learning","",3
"112083","Training accuracy is denoted by the red curve below with respect to each epoch in a deep learning algorithm. Both the green and blue curves denote validation accuracy.
Which of these indicate generalization of model?","447254","Deep & Reinforcement Learning","https://aslapapi.aicte-india.org/files/questions/Question_1624332470.png",4
"112090","Consider the below diagram of  McCulloch-pitts model of neuron. What can be understood as a nature of function F(x) in the figure?","447283","Deep & Reinforcement Learning","https://aslapapi.aicte-india.org/files/questions/Question_1624332673.png",3
"112100","Exploding gradient problem is an common issue in training deep networks. How to deal with “Exploding Gradient” problem in RNNs?","447322","Deep & Reinforcement Learning","",4
"113460","A color image of size 200 x 200 is given as input to a CNN with a convolutional layer having 64 filters that are each 5x5. How many parameters does this hidden layer have (without bias parameters)?","452761","Deep & Reinforcement Learning","",3
"112098","Consider the above matrix which is  a input to  Max-Pooling layer in a CNN. The pooling size of neurons in the layer is (3, 3). What would be the output of this Pooling layer?","","Deep & Reinforcement Learning","https://aslapapi.aicte-india.org/files/questions/Qestion_1624333176.png",4
"114087","________________ is the function which handles multinomial labeling system when it is used in output layer","455266","Deep & Reinforcement Learning","",5
"114128","__________ are an example of a network that uses unsupervised learning to train two models in parallel","455431","Deep & Reinforcement Learning","",0
"120824","Which one of the following is incorrect statement?","482185","Deep & Reinforcement Learning","",3
"128413","Which one of the following statement is true?","512539","Deep & Reinforcement Learning","",4
"128446","____________ is a regularization technique that results in gradient descent shrinking the weights on every iteration.","512671","Deep & Reinforcement Learning","",5
"131314","The last layer of a typical Deep learning network is a","524136","Deep & Reinforcement Learning","",3
"137196","The output of the sigmoid function lies between the range","547661","Deep & Reinforcement Learning","",3
"139886","Consider the McCulloch-Pitts Neuron Model. Find the correct output function y","558418","Deep & Reinforcement Learning","https://aslapapi.aicte-india.org/files/questions/Question_1624788068.PNG",4
"140082","Choose the network best suited for time series data","559201","Deep & Reinforcement Learning","",4
"140487","Which one of the following is not true about sigmoid activation function?","560822","Deep & Reinforcement Learning","",4
"140509","Which of the following is not a loss function?","560908","Deep & Reinforcement Learning","",5
"144630","Which of the following functions can be used as an activation function in the output layer if we wish to predict the probabilities of n classes (p1, p2..pk) such that sum of p over all n equals to 1?","577366","Deep & Reinforcement Learning","",5
"144658","Which of the following neural network training challenge can be solved using batch normalization?","577479","Deep & Reinforcement Learning","",4
"88204","The input image has been converted into a matrix of size 28 X 28 and a kernel/filter of size 7 X 7 with a stride of 1. What will be the size of the convoluted matrix?","351766","Deep & Reinforcement Learning","",3
"97061","Which one of the following statements is true?","387182","Deep & Reinforcement Learning","",3
"97332","If we have 7 filters that are 3X3X3 in one layer of a neural network, how many parameters does that layer have?","388265","Deep & Reinforcement Learning","",3
"112002","Which of following is a characteristics of  neuron in a ANN?","446930","Deep & Reinforcement Learning","",4
"112007","How to reduce overfitting in deep learning models?","446952","Deep & Reinforcement Learning","",3
"112019","Does gradient descent is used in backpropagaion learning","446997","Deep & Reinforcement Learning","",3
"112026","Weight sharing occur in which of the following?","447028","Deep & Reinforcement Learning","",3
"112027","If we choose learning rate that’s too large, what might happen","447030","Deep & Reinforcement Learning","",5
"97041","Which one of the following is not a hyperparameter?","387103","Deep & Reinforcement Learning","",5
"112028","How to handle skewed target variable distribution","447036","Deep & Reinforcement Learning","",0
"112034","Hyperbolic tangent activation function changes output","447058","Deep & Reinforcement Learning","",3
"112045","Max pooling is used in","447104","Deep & Reinforcement Learning","",3
"107669","Which of the following is not relevant to reinforcement learning ?","429604","Deep & Reinforcement Learning","",3
"111635","Curse of dimensionality refers to","445462","Deep & Reinforcement Learning","",4
"112003","Point out the correct statement.","446934","Deep & Reinforcement Learning","",0
"112009","Reinforcement learning is also known as","446957","Deep & Reinforcement Learning","",3
"112021","How In FeedForward ANN, information flows","447005","Deep & Reinforcement Learning","",3
"112040","Dropout is applied","447083","Deep & Reinforcement Learning","",3
"158161","Objective of  Epsilon Greedy Exploration Strategy include ------","631478","Deep & Reinforcement Learning","",4
"144731","What steps can we take to prevent overfitting in a Neural Network?","577770","Deep & Reinforcement Learning","",4
"158165","Suppose for a deep reinforcement learning we have to design the Learning equation for learning of agent. Important steps of learning equation includes ----","631497","Deep & Reinforcement Learning","",0
"144809","How many main statistical methodologies are used in data analysis?","578083","Deep & Reinforcement Learning","",5
"158173","How to update deep reinforcement  network weights using the learning equation?","631529","Deep & Reinforcement Learning","",4
"144822","Data Analysis is defined by the statistician?","578139","Deep & Reinforcement Learning","",0
"158177","Steps of Experience Replay algorithm includes ---","631545","Deep & Reinforcement Learning","",3
"145896","Which of the following is/are Limitations of deep learning?","582433","Deep & Reinforcement Learning","",0
"158178","Significance of Off-Policy algorithms for learning","631548","Deep & Reinforcement Learning","",3
"145943","___________ is an optimization algorithm that's used when training a machine learning model.","582618","Deep & Reinforcement Learning","",3
"158180","Advantage of experience Replay to learn in small batches  includes -----","631557","Deep & Reinforcement Learning","",5
"145947","The choice of the cost function is tightly coupled with the choice of:","582636","Deep & Reinforcement Learning","",5
"158299","Advantage of deep reinforcement learning for Programmatic Advertising is -----","632033","Deep & Reinforcement Learning","",0
"145950","A Bernoulli distribution is deﬁned by just a _______ number.","582646","Deep & Reinforcement Learning","",4
"158303","What are the steps of advertising exchanges work in the context of reinforcement learning?","632049","Deep & Reinforcement Learning","",4
"145964","The input x provides the initial information that then propagates up to the hidden units at each layer and ﬁnally produces ˆy. This is called ________ propagation","582703","Deep & Reinforcement Learning","",3
"158326","Type of Reinforcement learning is ----","632140","Deep & Reinforcement Learning","",4
"145968","The ____________ algorithm allows the information from the cost to then ﬂow backward through the network in order to compute the gradient.","582718","Deep & Reinforcement Learning","",4
"158357","What is ‘Training set’","632264","Deep & Reinforcement Learning","",3
"146271","In the paradigm of semi-supervised learning, __________________ _______________ are used to estimate P(y | x) or predict y from x.","583930","Deep & Reinforcement Learning","",4
"158362","What is the difference between CNN and ANN?","632285","Deep & Reinforcement Learning","",3
"146315","Exploding gradients are a problem where large error gradients accumulate and result in very large updates to neural network model weights during __________.","584107","Deep & Reinforcement Learning","",3
"158363","Slots and facets are used in","632286","Deep & Reinforcement Learning","",4
"146333","Downsampling can be achieved with convolutional layers by changing the stride of the convolution across the image. A more robust and common approach is to use a ____________","584181","Deep & Reinforcement Learning","",3
"158364","In Delta Rule for error minimization","632292","Deep & Reinforcement Learning","",4
"146341","Distributing inference is simple, because each input example we want to process can be run by a separate machine. This is known as ___________.","584212","Deep & Reinforcement Learning","",0
"158368","What are the following sequence of steps taken in designing a fuzzy logic machine","632306","Deep & Reinforcement Learning","",5
"147569","Reinforcement learning differs from supervised learning in the following way(s):
1. In supervised learning the training data has the answer key with it so the model is trained with the correct answer itself 
2. In reinforcement learning, there is no answer but the reinforcement agent decides what to do to perform the given.","589112","Deep & Reinforcement Learning","",4
"158372","What Is Gradient Descent?","632322","Deep & Reinforcement Learning","",4
"152447","A  white and black Image has a size of  255 x 255. A filter of size 7 x 7
is used to generate the features for the CNN. What is the size of the resulting feature matrix?","608623","Deep & Reinforcement Learning","",3
"158375","What  is  ReLU layer?","632335","Deep & Reinforcement Learning","",3
"152452","Which of the following attributes are relevant to a neural network
a] Generalisation
b] Massive parallelism
c] Graceful degradation","608645","Deep & Reinforcement Learning","",3
"152252","For the network shown, If the Bias w1 is -1.5, then what is the bias w2. The network trains an XoR data.","","Deep & Reinforcement Learning","https://aslapapi.aicte-india.org/files/questions/Question_1625421594.jpeg",3
"158880","To perform various tasks in industry, what are advantages of learning-based robots ?","634355","Deep & Reinforcement Learning","",4
"152915","The MLP network receives weighted summation of inputs and bias. This can be viewed as","610497","Deep & Reinforcement Learning","",4
"152926","The bias for each Neuron in a MLP is responsible for","610538","Deep & Reinforcement Learning","",3
"158149","Consider a deep reinforcement learning, the 'CartPole' environment, which is a simple environment where the objective is to move a cart left or right in order to balance an upright pole for as long as possible. Important factors to develop the state space of environment -----","631433","Deep & Reinforcement Learning","",3
"158150","Consider a deep reinforcement learning, the 'CartPole' environment, which is a simple environment where the objective is to move a cart left or right in order to balance an upright pole for as long as possible. Important actions to develop the solution space of environment -----","631437","Deep & Reinforcement Learning","",3
"158156","Suppose for a deep reinforcement learning we have to design the Q- learning algorithm for the agent learning. Important steps of  Q-learning algorithm includes ----","631461","Deep & Reinforcement Learning","",4
